Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Bleach: Thousand-Year Blood War,https://www.justwatch.com/in/tv-show/bleach-thousand-year-blood-war,2022,"['Animation', 'Action & Adventure', 'Fantasy']",9.0,"{'Anime Times Amazon Channel', 'Netflix', 'Hotstar', 'Amazon Prime Video', 'Jio Cinema'}",N/A,Japan,24min,TV-Show
Mr. Plankton,https://www.justwatch.com/in/tv-show/mr-plankton,2024,"['Comedy', 'Romance']",8.2,{'Netflix'},N/A,South Korea,1h 2min,TV-Show
Shameless,https://www.justwatch.com/in/tv-show/shameless,2011,"['Drama', 'Comedy']",8.5,{'Netflix'},N/A,United States,54min,TV-Show
The Vampire Diaries,https://www.justwatch.com/in/tv-show/the-vampire-diaries,2009,"['Drama', 'Science-Fiction', 'Romance', 'Mystery & Thriller', 'Fantasy', 'Horror']",7.7,"{'Amazon Prime Video', 'Netflix'}",N/A,United States,42min,TV-Show
Cruel Intentions,https://www.justwatch.com/in/tv-show/cruel-intentions,2024,['Drama'],5.0,{'Amazon Prime Video'},N/A,"United States, Italy",42min,TV-Show
The Penguin,https://www.justwatch.com/in/tv-show/the-penguin,2024,"['Crime', 'Drama', 'Fantasy']",8.7,{'Jio Cinema'},N/A,United States,58min,TV-Show
Citadel: Honey Bunny,https://www.justwatch.com/in/tv-show/citadel-honey-bunny,2024,"['Drama', 'Science-Fiction', 'Mystery & Thriller', 'Action & Adventure']",6.2,{'Amazon Prime Video'},N/A,India,50min,TV-Show
The Day of the Jackal,https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,2024,"['Crime', 'Drama', 'Mystery & Thriller', 'Action & Adventure']",8.1,{'Jio Cinema'},N/A,"United States, United Kingdom",51min,TV-Show
Mirzapur,https://www.justwatch.com/in/tv-show/mirzapur,2018,"['Action & Adventure', 'Drama', 'Crime', 'Mystery & Thriller']",8.4,{'Amazon Prime Video'},N/A,India,50min,TV-Show
Buy It Now - Season 1,https://www.justwatch.com/in/tv-show/buy-it-now/season-1,2024,['Reality TV'],5.9,set(),N/A,United States,46min,TV-Show
Chef's Table - Volume 7,https://www.justwatch.com/in/tv-show/chefs-table/season-7,2024,['Documentary'],8.5,set(),N/A,United States,50min,TV-Show
Asaf - Season 1,https://www.justwatch.com/in/tv-show/asaf/season-1,2024,['Drama'],N/A,set(),N/A,Turkey,N/A,TV-Show
Is It Cake? Holiday - Season 1,https://www.justwatch.com/in/tv-show/is-it-cake-holiday/season-1,2024,['Reality TV'],N/A,set(),N/A,United States,N/A,TV-Show
The Madness - Limited Series,https://www.justwatch.com/in/tv-show/the-madness/season-1,2024,"['Drama', 'Action & Adventure', 'Crime', 'Mystery & Thriller']",N/A,set(),N/A,United States,N/A,TV-Show
