Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Aavesham,https://www.justwatch.com/in/movie/aavesham-2024,(2024),"['Action & Adventure', 'Comedy']",7.8  (22k),"{'Hotstar', 'Amazon Video', 'Amazon Prime Video'}",[],{'India'},2h 38min,Movie
K.G.F: Chapter 2,https://www.justwatch.com/in/movie/k-g-f-chapter-2,Chapter,"['Action & Adventure', 'Crime', 'Drama', 'Mystery & Thriller']",8.2  (154k)47%,"{'VI movies and tv', 'Amazon Video', 'Amazon Prime Video'}","['UA', 'UA']",{'India'},2h 46min,Movie
The Wolf of Wall Street,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,Wolf,"['Comedy', 'Crime', 'Drama']",8.2  (1m)79%,"{'Lionsgate Play', 'Lionsgate Play Amazon Channel', 'Amazon Video', 'Lionsgate Play Apple TV Channel'}","['A', 'A']",{'United States'},3h 0min,Movie
Pushpa 2 - The Rule,https://www.justwatch.com/in/movie/pushpa-the-rule-part-2,2,"['Mystery & Thriller', 'Action & Adventure']",N/A,set(),[],{'India'},3h 10min,Movie
The Promised Land,https://www.justwatch.com/in/movie/the-bastard,Promised,"['Action & Adventure', 'Drama', 'History']",7.7  (26k)97%,{'Amazon Prime Video'},[],"{'Denmark, Germany, Sweden'}",2h 7min,Movie
Knock Knock,https://www.justwatch.com/in/movie/knock-knock-2015,Knock,"['Horror', 'Mystery & Thriller', 'Crime']",4.9  (107k)37%,"{'Vrott Amazon Channel', 'MX Player'}","['A', 'A']","{'United States, Chile, Germany'}",1h 39min,Movie
Smile,https://www.justwatch.com/in/movie/smile-2022-0,(2022),"['Horror', 'Mystery & Thriller']",6.5  (197k)79%,"{'Amazon Video', 'Apple TV'}","['A', 'A']",{'United States'},1h 55min,Movie
Bullet Train,https://www.justwatch.com/in/movie/bullet-train,Train,"['Comedy', 'Mystery & Thriller', 'Action & Adventure']",7.3  (468k)53%,"{'Sony Liv', 'Amazon Video', 'Zee5', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},2h 6min,Movie
Bramayugam,https://www.justwatch.com/in/movie/bramayugam,(2024),"['Drama', 'Horror', 'Mystery & Thriller']",7.8  (12k),"{'VI movies and tv', 'Sony Liv'}","['UA', 'UA']",{'India'},2h 19min,Movie
Mathu Vadalara,https://www.justwatch.com/in/movie/mathu-vadalara,Vadalara,"['Crime', 'Comedy', 'Mystery & Thriller']",8.2  (5k),{'Amazon Prime Video'},"['UA', 'UA']",{'India'},2h 10min,Movie
Ready or Not,https://www.justwatch.com/in/movie/ready-or-not-2019,or,"['Horror', 'Mystery & Thriller', 'Action & Adventure', 'Comedy']",6.9  (200k)89%,"{'Amazon Video', 'Apple TV', 'Netflix'}","['A', 'A']",{'United States'},1h 35min,Movie
Red One,https://www.justwatch.com/in/movie/red-one,One,"['Fantasy', 'Action & Adventure', 'Comedy']",6.9  (33k)31%,set(),[],{'United States'},2h 3min,Movie
