Title,URL,Release Year,Genre,IMDb Rating,Streaming Services,Age Rating,Production Country,Runtime,Type
Agatha All Along,https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,2024,"['Science-Fiction', 'Mystery & Thriller', 'Drama', 'Fantasy', 'Action & Adventure', 'Comedy']",7.3,{'Hotstar'},,United States,39min,TV-Show
Game of Thrones,https://www.justwatch.com/in/tv-show/game-of-thrones,2011,"['Action & Adventure', 'Science-Fiction', 'Drama', 'Fantasy']",9.2,{'Jio Cinema'},,United States,58min,TV-Show
The Pradeeps of Pittsburgh,https://www.justwatch.com/in/tv-show/the-pradeeps-of-pittsburgh,2024,"['Comedy', 'Drama']",6.2,{'Amazon Prime Video'},,"United States, Canada",28min,TV-Show
Hellbound,https://www.justwatch.com/in/tv-show/hellbound,2021,"['Drama', 'Crime', 'Science-Fiction', 'Fantasy', 'Horror', 'Mystery & Thriller']",6.6,{'Netflix'},,South Korea,50min,TV-Show
Tulsa King,https://www.justwatch.com/in/tv-show/tulsa-king,2022,"['Drama', 'Crime']",8.0,{'Jio Cinema'},,United States,39min,TV-Show
Yellowstone,https://www.justwatch.com/in/tv-show/yellowstone,2018,"['Western', 'Drama']",8.7,{'Netflix'},,United States,50min,TV-Show
1000 Babies,https://www.justwatch.com/in/tv-show/1000-babies,2024,"['Drama', 'Crime', 'Horror']",7.2,{'Hotstar'},,India,42min,TV-Show
Mastram,https://www.justwatch.com/in/tv-show/mastram,2020,"['Comedy', 'Drama', 'Fantasy']",6.9,{'VI movies and tv'},,India,28min,TV-Show
Sweetpea,https://www.justwatch.com/in/tv-show/sweetpea,2024,"['Comedy', 'Drama']",7.2,{'Jio Cinema'},,United Kingdom,44min,TV-Show
Panchayat,https://www.justwatch.com/in/tv-show/panchayat,2020,"['Drama', 'Comedy']",9.0,{'Amazon Prime Video'},,India,35min,TV-Show
Dan Da Dan,https://www.justwatch.com/in/tv-show/dan-da-dan,2024,"['Action & Adventure', 'Science-Fiction', 'Comedy', 'Fantasy', 'Romance', 'Mystery & Thriller', 'Animation']",8.7,"{'Amazon Prime Video', 'Netflix', 'Crunchyroll Amazon Channel', 'Anime Times Amazon Channel'}",,Japan,24min,TV-Show
Say Nothing,https://www.justwatch.com/in/tv-show/say-nothing,2024,"['Drama', 'Crime', 'History', 'Mystery & Thriller']",8.4,{'Hotstar'},,United States,43min,TV-Show
The Legend of Hanuman,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman,2021,"['Kids & Family', 'Fantasy', 'Animation', 'Action & Adventure']",9.1,{'Hotstar'},,India,21min,TV-Show
The Rookie,https://www.justwatch.com/in/tv-show/the-rookie,2018,"['Crime', 'Drama', 'Comedy', 'Action & Adventure']",8.0,set(),,United States,43min,TV-Show
Murder Mindfully,https://www.justwatch.com/in/tv-show/murder-mindfully,2024,"['Crime', 'Comedy', 'Mystery & Thriller']",7.5,{'Netflix'},,Germany,33min,TV-Show
Silo,https://www.justwatch.com/in/tv-show/silo,2023,"['Drama', 'Science-Fiction']",8.1,{'Apple TV Plus'},,United States,46min,TV-Show
Teacup,https://www.justwatch.com/in/tv-show/teacup,2024,"['Drama', 'Mystery & Thriller', 'Science-Fiction', 'Horror']",6.4,{'Jio Cinema'},,United States,37min,TV-Show
Breaking Bad,https://www.justwatch.com/in/tv-show/breaking-bad,2008,"['Drama', 'Mystery & Thriller', 'Crime']",9.5,{'Netflix'},,United States,47min,TV-Show
The Great Indian Kapil Show,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,2024,['Comedy'],6.5,{'Netflix'},,India,1h 0min,TV-Show
